_row,cell_id,new_split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,area,wcl_lat,wcl_lon
203263,26369025.0,val,-77.679375,-42.23280334472656,8.36621134384238,1800.0,Park,52.50664487811046,13.345645918028
203276,26369025.0,val,-80.0275,-46.22277069091797,34.87222478976298,1800.0,Park,52.50664487811046,13.345645918028
203285,26369025.0,val,-85.804375,-48.43614196777344,49.71961796023832,1800.0,Park,52.50664487811046,13.345645918028
203286,26369025.0,val,-86.56,-48.79914093017578,52.4055022715194,1800.0,Park,52.50664487811046,13.345645918028
203302,26369025.0,val,-86.836875,-49.411346435546875,57.142481352453494,1800.0,Park,52.50664487811046,13.345645918028
203313,26369025.0,val,-90.21875,-50.513824462890625,66.4432125515648,1800.0,Park,52.50664487811046,13.345645918028
203315,26369025.0,val,-89.960625,-51.03430938720703,71.23818317066446,1800.0,Park,52.50664487811046,13.345645918028
203317,26369025.0,val,-91.62625,-51.49421691894531,75.72396159106613,1800.0,Park,52.50664487811046,13.345645918028
203318,26369025.0,val,-91.91875,-51.847320556640625,79.34120653839142,1800.0,Park,52.50664487811046,13.345645918028
203323,26369025.0,val,-92.888125,-52.56938171386719,87.25648829029676,1800.0,Park,52.50664487811046,13.345645918028
203326,26369025.0,val,-93.16125,-53.243141174316406,95.34534761214701,1800.0,Park,52.50664487811046,13.345645918028
203328,26369025.0,val,-92.63625,-53.43415832519531,97.77466375449366,1800.0,Park,52.50664487811046,13.345645918028
203335,26369025.0,val,-91.908125,-53.843414306640625,103.19833653571918,1800.0,Park,52.50664487811046,13.345645918028
203337,26369025.0,val,-91.563125,-53.9229736328125,104.28879294478027,1800.0,Park,52.50664487811046,13.345645918028
203341,26369025.0,val,-91.6125,-53.92223358154297,104.27860501675715,1800.0,Park,52.50664487811046,13.345645918028
203343,26369025.0,val,-91.57625,-53.98481750488281,105.14476873084776,1800.0,Park,52.50664487811046,13.345645918028
203373,26369025.0,val,-92.123125,-53.980621337890625,105.08646802398412,1800.0,Park,52.50664487811046,13.345645918028
203374,26369025.0,val,-92.140625,-53.980621337890625,105.08646802398412,1800.0,Park,52.50664487811046,13.345645918028
203378,26369025.0,val,-92.1125,-53.980621337890625,105.08646802398412,1800.0,Park,52.50664487811046,13.345645918028
203397,26369025.0,val,-91.62,-54.999114990234375,120.29917768156565,1800.0,Park,52.50664487811046,13.345645918028
203405,26369025.0,val,-89.530625,-56.07323455810547,138.92672725251032,1800.0,Park,52.50664487811046,13.345645918028
203409,26369025.0,val,-89.140625,-56.465904235839844,146.48689953954386,1800.0,Park,52.50664487811046,13.345645918028
203411,26369025.0,val,-88.83125,-56.63086700439453,149.79260077512396,1800.0,Park,52.50664487811046,13.345645918028
203436,26369025.0,val,-90.71375,-58.287269592285156,187.67582540602874,1800.0,Park,52.50664487811046,13.345645918028
203440,26369025.0,val,-90.8725,-58.390892028808594,190.35320524159974,1800.0,Park,52.50664487811046,13.345645918028
27710,26370049.0,train,-108.16126543209876,-56.43982696533203,140.04287795442815,1800.0,Highway,52.50346971354718,13.27981824152271
27716,26370049.0,train,-104.79375,-55.30711364746094,122.1609094536822,1800.0,Highway,52.50346971354718,13.27981824152271
27721,26370049.0,train,-105.9575,-54.680747985839844,113.18456131279038,1800.0,Highway,52.50346971354718,13.27981824152271
27726,26370049.0,train,-101.11375,-54.02815246582031,104.45160778099155,1800.0,Highway,52.50346971354718,13.27981824152271
27731,26370049.0,train,-102.219375,-53.48804473876953,97.66986290432837,1800.0,Highway,52.50346971354718,13.27981824152271
27734,26370049.0,train,-101.20625,-52.92124938964844,90.9559608957254,1800.0,Highway,52.50346971354718,13.27981824152271
27740,26370049.0,train,-100.098125,-51.699790954589844,77.75884683183685,1800.0,Highway,52.50346971354718,13.27981824152271
27744,26370049.0,train,-96.010625,-51.1478271484375,72.30513586083786,1800.0,Highway,52.50346971354718,13.27981824152271
27749,26370049.0,train,-94.673125,-50.63615417480469,67.50478834236564,1800.0,Highway,52.50346971354718,13.27981824152271
27756,26370049.0,train,-96.124375,-49.987152099609375,61.74023400208805,1800.0,Highway,52.50346971354718,13.27981824152271
27762,26370049.0,train,-94.29125,-49.69834899902344,59.282981754725725,1800.0,Highway,52.50346971354718,13.27981824152271
27765,26370049.0,train,-94.876875,-49.60664367675781,58.51458292568844,1800.0,Highway,52.50346971354718,13.27981824152271
27769,26370049.0,train,-94.5175,-49.355003356933594,56.44104733220535,1800.0,Highway,52.50346971354718,13.27981824152271
27774,26370049.0,train,-94.31,-49.14905548095703,54.77834868957278,1800.0,Highway,52.50346971354718,13.27981824152271
27778,26370049.0,train,-95.006875,-48.845428466796875,52.3768372249099,1800.0,Highway,52.50346971354718,13.27981824152271
27780,26370049.0,train,-94.8025,-48.4976806640625,49.69793378706583,1800.0,Highway,52.50346971354718,13.27981824152271
27790,26370049.0,train,-91.569375,-47.598716735839844,43.08862781135191,1800.0,Highway,52.50346971354718,13.27981824152271
27793,26370049.0,train,-88.54375,-47.05004119873047,39.24422720239184,1800.0,Highway,52.50346971354718,13.27981824152271
