_row,operator,device,near_typeb,dist_to_typeb_m,sionna_cal_pt,measured_rsrp
206383,1,pc1,False,2986.5896321444234,-73.55155526497036,-76.4875
206384,1,pc1,False,2974.1007840389475,-75.86894570686489,-75.566875
206386,1,pc1,False,2961.777953755424,-77.79053841926724,-72.66875
206388,1,pc1,False,2949.4223005439258,-79.38602029182582,-71.635625
206390,1,pc1,False,2937.563307309893,-80.71800576545864,-73.01625
206392,1,pc1,False,2926.1399670211317,-81.86303292610317,-74.909375
206395,1,pc1,False,2915.0365682999504,-82.88204537727505,-75.166875
206396,1,pc1,False,2903.9355404775747,-83.8061557898727,-73.865
206398,1,pc1,False,2892.788598629702,-84.64628182747036,-76.064375
206400,1,pc1,False,2881.7036407745586,-85.41410409309536,-74.375
206402,1,pc1,False,2870.734759693783,-86.12557565071255,-83.6375
206405,1,pc1,False,2859.777720524258,-86.7902866492477,-89.820625
206406,1,pc1,False,2848.725026990386,-87.40589486457974,-89.440625
206408,1,pc1,False,2837.6395930082335,-88.00121651985317,-86.220625
206410,1,pc1,False,2826.5202541821172,-88.5601841101852,-80.931875
206412,1,pc1,False,2815.2001704543936,-89.08477364875942,-82.22625
206415,1,pc1,False,2804.012997593956,-89.58301888801724,-82.439375
206416,1,pc1,False,2792.889461473793,-90.04707681038052,-84.256875
206419,1,pc1,False,2781.137431519913,-90.49822579719692,-89.683125
206421,1,pc1,False,2768.9763533195087,-90.9351612220016,-91.8275
206423,1,pc1,False,2756.8003562530193,-91.358592618486,-95.086875
206425,1,pc1,False,2744.7937356761786,-91.75545846321256,-97.99444444444444
48859,2,pc2,False,1883.392418452934,-109.9858355311902,-104.07608695652172
48864,2,pc2,False,1877.5438746223665,-109.85911128802614,-101.370625
48867,2,pc2,False,1871.8054815085634,-109.73855922503786,-103.82625
48868,2,pc3,False,1881.1479989055254,-109.92545650286988,-92.5592105263158
48872,2,pc2,False,1865.690964171126,-109.60944698138552,-104.853125
48874,2,pc3,False,1875.2370962459595,-109.79574153704958,-93.11625
48877,2,pc2,False,1858.7241840606316,-109.45836208148316,-101.90559895833331
48878,2,pc3,False,1869.7318464088307,-109.67876766009644,-95.598125
